size,merge,hybrid
90900,13,11
91000,13,11
91100,13,10
91200,12,10
91300,12,10
91400,12,10
91500,12,10
91600,12,10
91700,12,10
91800,12,10
91900,12,10
92000,12,10
92100,12,10
92200,12,10
92300,12,10
92400,12,10
92500,12,10
92600,12,10
92700,12,10
92800,12,10
92900,12,10
93000,12,10
93100,12,10
93200,12,10
93300,12,11
93400,12,10
93500,12,10
93600,12,10
93700,12,10
93800,12,10
93900,12,10
94000,12,10
94100,12,10
94200,12,10
94300,12,10
94400,12,10
94500,12,10
94600,12,10
94700,12,10
94800,12,10
94900,12,10
95000,12,10
95100,12,10
95200,12,10
95300,12,10
95400,12,10
95500,12,10
95600,12,10
95700,12,10
95800,12,10
95900,12,10
96000,12,10
96100,12,10
96200,12,10
96300,12,10
96400,12,10
96500,12,10
96600,12,10
96700,12,10
96800,12,10
96900,12,11
97000,13,11
97100,12,10
97200,12,10
97300,13,11
97400,13,10
97500,12,10
97600,12,10
97700,12,10
97800,12,10
97900,12,11
98000,12,10
98100,13,11
98200,12,10
98300,12,10
98400,12,10
98500,13,11
98600,12,11
98700,16,14
98800,14,12
98900,14,12
99000,14,12
99100,14,12
99200,14,12
99300,14,12
99400,14,12
99500,13,11
99600,13,11
99700,13,11
99800,13,11
99900,13,11
100000,12,11
